Reporting Period,ID RSSD,UBPR2746
3/31/2022 11:59:59 PM,110936,0
3/31/2022 11:59:59 PM,110945,0
3/31/2022 11:59:59 PM,110972,0
3/31/2022 11:59:59 PM,111157,0
3/31/2022 11:59:59 PM,111205,7976
3/31/2022 11:59:59 PM,111942,0
3/31/2022 11:59:59 PM,111979,0
3/31/2022 11:59:59 PM,112163,0
3/31/2022 11:59:59 PM,112332,0
3/31/2022 11:59:59 PM,112510,0
3/31/2022 11:59:59 PM,112556,0
3/31/2022 11:59:59 PM,112837,16791603
3/31/2022 11:59:59 PM,113003,0
3/31/2022 11:59:59 PM,113030,0
3/31/2022 11:59:59 PM,113441,0
3/31/2022 11:59:59 PM,113601,123
3/31/2022 11:59:59 PM,113740,0
3/31/2022 11:59:59 PM,114149,0
3/31/2022 11:59:59 PM,114260,141
3/31/2022 11:59:59 PM,114457,0
3/31/2022 11:59:59 PM,114774,0
3/31/2022 11:59:59 PM,114840,0
3/31/2022 11:59:59 PM,114859,883
3/31/2022 11:59:59 PM,115146,2512
3/31/2022 11:59:59 PM,115575,0
3/31/2022 11:59:59 PM,116358,0
3/31/2022 11:59:59 PM,116554,0
3/31/2022 11:59:59 PM,116741,0
3/31/2022 11:59:59 PM,117038,748
3/31/2022 11:59:59 PM,117074,0
3/31/2022 11:59:59 PM,117458,0
3/31/2022 11:59:59 PM,117775,0
3/31/2022 11:59:59 PM,118156,7219
3/31/2022 11:59:59 PM,118660,0
3/31/2022 11:59:59 PM,118736,0
3/31/2022 11:59:59 PM,119153,0
3/31/2022 11:59:59 PM,119528,0
3/31/2022 11:59:59 PM,119779,0
3/31/2022 11:59:59 PM,119872,0
3/31/2022 11:59:59 PM,120476,0
3/31/2022 11:59:59 PM,120542,456
3/31/2022 11:59:59 PM,120609,0
3/31/2022 11:59:59 PM,120953,0
3/31/2022 11:59:59 PM,121642,0
3/31/2022 11:59:59 PM,121651,914
3/31/2022 11:59:59 PM,121914,0
3/31/2022 11:59:59 PM,122153,0
3/31/2022 11:59:59 PM,122546,0
3/31/2022 11:59:59 PM,122854,3796
3/31/2022 11:59:59 PM,123075,0
3/31/2022 11:59:59 PM,123374,0
3/31/2022 11:59:59 PM,124344,0
3/31/2022 11:59:59 PM,124830,0
3/31/2022 11:59:59 PM,125154,0
3/31/2022 11:59:59 PM,125855,0
3/31/2022 11:59:59 PM,125873,0
3/31/2022 11:59:59 PM,126012,0
3/31/2022 11:59:59 PM,126049,0
3/31/2022 11:59:59 PM,126375,0
